"Title","ID","Created Date","Updated Date","Owner","Order","Live"
"Refferal","3d62e6df-5865-4dee-88ab-a3834cfd8ce9",2023-12-02T19:06:01Z,2023-12-02T19:10:19Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",3,true
"Keller Williams","5f6aa2ea-f71a-4fae-93a5-a4443feb353d",2023-11-03T23:59:33Z,2023-12-02T19:05:48Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",3,
"Equity Union","61396f77-a7e3-4954-b632-514d11e05016",2023-11-03T23:58:40Z,2023-12-02T19:10:05Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",1,true
"EXP Realty","7b6b05af-c952-427d-bd23-2600f166b4c6",2023-11-03T23:59:17Z,2023-12-02T19:05:51Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",5,
"Coldwell Banker","8f8441ee-b6ed-4dbd-ba3f-1e480bee3ca6",2023-11-03T23:59:25Z,2023-12-02T19:05:50Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",4,
"Sync","927f3c08-6958-488c-8c85-d994b4a7a7ca",2023-11-03T23:59:02Z,2023-12-02T19:10:47Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",2,true
"'-","b6626469-c8d1-410c-b6c1-2a48260efb2d",2023-11-03T23:58:35Z,2023-12-02T19:10:00Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",0,true
"The Agency","e6d95d6f-a22f-44c8-80b7-bb2d124a471b",2023-11-03T23:59:10Z,2023-12-02T19:05:54Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",6,
"Real Estate Experts","e91b8894-e868-4c94-88c4-55ab32ff786e",2023-11-03T23:59:44Z,2023-12-02T19:07:20Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",8,
"Compass","ed5433a9-6071-41a3-b265-b7a832fc71ce",2023-11-03T23:59:38Z,2023-12-02T19:07:21Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",9,
