"Title","ID","Created Date","Updated Date","Owner","Order"
"New","3ed2aaad-8338-48a2-b79e-a09035d06fa7",2023-11-03T23:51:40Z,2023-12-02T19:19:20Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",1
"Boosting","62ca7d6f-0b24-4869-b8b8-aed2f328379a",2023-11-03T23:51:49Z,2023-12-02T19:19:21Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",2
"Buyer Servicing","c46d30e5-a8a1-4dcd-9621-652f7fd1243e",2023-11-03T23:51:55Z,2023-12-04T19:08:12Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",3
"Pre-listing","f62b151f-411f-45c8-b5e1-33282d0ac03d",2023-11-03T23:52:03Z,2023-12-02T19:19:22Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",4
"Listed","b6a12ebd-7f62-4b50-adf7-ad81c099060f",2023-11-03T23:52:09Z,2023-12-02T19:19:23Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",5
"In-escrow","d356916b-9a7e-43a9-9d1a-8886f7647228",2023-11-03T23:52:16Z,2023-12-02T19:19:24Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",6
"Sold","9ab23dc9-5ff1-4171-bd82-0fde98dcbb0c",2023-11-03T23:52:21Z,2023-12-02T19:19:25Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",7
"Completed","8162b142-7a38-4777-94b9-244116b5bcd7",2023-11-03T23:52:26Z,2023-12-02T19:19:26Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",8
"Archived","c6d717b9-53da-4e00-abe9-5803971c8727",2023-11-03T23:52:31Z,2023-12-02T19:19:29Z,"03839c70-7508-4e6d-b906-4df699fc5aa1",9
